"","gender","race","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","average_score"
"163","male","group B","master's degree","free/reduced","none",0.49,0.433734939759036,0.466666666666667,0.465201465164835
"164","male","group C","high school","standard","none",0.52,0.433734939759036,0.433333333333333,0.465201465164835
"165","female","group E","master's degree","standard","none",0.81,0.903614457831325,0.9,0.868131868131868
"166","female","group C","bachelor's degree","standard","completed",0.96,1,1,0.985347985384615
"167","male","group C","high school","free/reduced","completed",0.53,0.409638554216867,0.455555555555556,0.468864468901099
"168","female","group B","master's degree","free/reduced","completed",0.58,0.710843373493976,0.755555555555556,0.677655677692308
"169","female","group B","high school","standard","completed",0.68,0.795180722891566,0.755555555555556,0.73992673989011
"170","female","group C","some college","free/reduced","completed",0.67,0.698795180722892,0.666666666666667,0.677655677692308
"171","male","group A","high school","standard","completed",0.72,0.674698795180723,0.711111111111111,0.703296703296703
"172","male","group E","some high school","standard","none",0.94,0.855421686746988,0.755555555555556,0.853479853516483
"173","female","group D","some college","standard","none",0.79,0.831325301204819,0.788888888888889,0.802197802197802
"174","female","group C","associate's degree","standard","none",0.63,0.602409638554217,0.666666666666667,0.633699633736264
"175","female","group C","bachelor's degree","free/reduced","completed",0.43,0.409638554216867,0.488888888888889,0.443223443186813
"176","female","group C","master's degree","standard","completed",0.81,0.891566265060241,0.855555555555556,0.84981684978022
"177","female","group B","high school","free/reduced","completed",0.46,0.44578313253012,0.533333333333333,0.47985347989011
"178","female","group C","associate's degree","standard","completed",0.71,0.72289156626506,0.744444444444444,0.725274725274725
"179","female","group B","master's degree","free/reduced","completed",0.52,0.63855421686747,0.577777777777778,0.575091575054945
"180","female","group D","some high school","standard","completed",0.97,1,1,0.989010989010989
"181","male","group C","master's degree","free/reduced","completed",0.62,0.614457831325301,0.722222222222222,0.652014651978022
"182","female","group C","some college","free/reduced","none",0.46,0.566265060240964,0.622222222222222,0.545787545824176
"183","female","group E","high school","standard","none",0.5,0.397590361445783,0.411111111111111,0.43956043956044
"184","female","group D","associate's degree","standard","none",0.65,0.626506024096386,0.666666666666667,0.648351648351648
"185","male","group C","some high school","free/reduced","completed",0.45,0.421686746987952,0.433333333333333,0.435897435934066
"186","male","group C","associate's degree","free/reduced","completed",0.65,0.602409638554217,0.611111111111111,0.622710622747253
"187","male","group E","high school","standard","none",0.8,0.710843373493976,0.611111111111111,0.710622710659341
"188","male","group D","some high school","standard","completed",0.62,0.590361445783133,0.644444444444444,0.619047619010989
"189","male","group B","some high school","free/reduced","none",0.48,0.421686746987952,0.388888888888889,0.432234432197802
"190","female","group C","bachelor's degree","standard","none",0.77,0.855421686746988,0.855555555555556,0.824175824175824
"191","female","group E","associate's degree","standard","none",0.66,0.578313253012048,0.655555555555556,0.633699633736264
"192","male","group D","some college","standard","completed",0.76,0.795180722891566,0.766666666666667,0.772893772857143
"193","female","group B","some high school","standard","none",0.62,0.566265060240964,0.622222222222222,0.604395604395604
"194","male","group D","some college","standard","completed",0.77,0.542168674698795,0.577777777777778,0.637362637362637
"195","female","group C","master's degree","standard","completed",0.69,0.807228915662651,0.833333333333333,0.772893772857143
"196","male","group D","associate's degree","standard","none",0.61,0.457831325301205,0.466666666666667,0.516483516483517
"197","male","group C","some high school","free/reduced","completed",0.59,0.626506024096386,0.611111111111111,0.608058608021978
"198","male","group E","high school","free/reduced","none",0.55,0.469879518072289,0.455555555555556,0.494505494505495
"199","female","group B","some college","free/reduced","none",0.45,0.433734939759036,0.5,0.461538461538462
"200","female","group B","bachelor's degree","free/reduced","none",0.78,0.746987951807229,0.733333333333333,0.754578754615385
"201","female","group C","associate's degree","standard","completed",0.67,0.807228915662651,0.844444444444444,0.769230769230769
"202","female","group D","some college","free/reduced","none",0.65,0.771084337349398,0.744444444444444,0.717948717912088
"203","male","group C","associate's degree","standard","none",0.69,0.72289156626506,0.655555555555556,0.688644688681319
"204","female","group B","associate's degree","standard","none",0.57,0.626506024096386,0.644444444444444,0.611721611758242
"205","male","group C","some college","standard","none",0.59,0.289156626506024,0.355555555555556,0.421245421208791
"206","male","group D","some high school","standard","completed",0.74,0.650602409638554,0.755555555555556,0.717948717912088
"207","male","group E","bachelor's degree","standard","none",0.82,0.542168674698795,0.577777777777778,0.655677655714286
"208","male","group E","high school","standard","completed",0.81,0.759036144578313,0.733333333333333,0.769230769230769
"209","female","group B","some college","free/reduced","none",0.74,0.771084337349398,0.733333333333333,0.747252747252747
"210","female","group B","some college","free/reduced","none",0.58,0.530120481927711,0.622222222222222,0.578754578791209
"211","male","group D","some high school","free/reduced","completed",0.8,0.746987951807229,0.766666666666667,0.772893772857143
"212","male","group C","some college","free/reduced","none",0.35,0.132530120481928,0.188888888888889,0.230769230769231
"213","female","group C","high school","free/reduced","none",0.42,0.542168674698795,0.555555555555556,0.501831501868132
"214","male","group C","associate's degree","free/reduced","completed",0.6,0.409638554216867,0.511111111111111,0.512820512857143
"215","male","group E","high school","standard","completed",0.87,0.891566265060241,0.788888888888889,0.84981684978022
"216","male","group B","some high school","standard","completed",0.84,0.795180722891566,0.722222222222222,0.787545787582418
"217","female","group E","associate's degree","free/reduced","completed",0.83,0.831325301204819,0.866666666666667,0.842490842527473
"218","female","group C","high school","free/reduced","none",0.34,0.301204819277108,0.322222222222222,0.322344322307692
"219","male","group B","high school","free/reduced","none",0.66,0.72289156626506,0.666666666666667,0.681318681318681
"220","male","group B","some high school","standard","completed",0.61,0.469879518072289,0.511111111111111,0.534798534835165
"221","female","group D","high school","standard","completed",0.56,0.614457831325301,0.711111111111111,0.626373626373626
"222","male","group B","associate's degree","standard","none",0.87,0.819277108433735,0.7,0.798534798571429
"223","female","group C","some high school","free/reduced","none",0.55,0.578313253012048,0.577777777777778,0.567765567802198
"224","male","group D","some high school","standard","none",0.86,0.759036144578313,0.722222222222222,0.783882783846154
"225","female","group B","associate's degree","standard","completed",0.52,0.590361445783133,0.7,0.600732600769231
"226","female","group E","master's degree","free/reduced","none",0.45,0.469879518072289,0.488888888888889,0.468864468901099
"227","female","group C","some college","standard","none",0.72,0.662650602409639,0.677777777777778,0.688644688681319
"228","male","group D","high school","standard","none",0.57,0.397590361445783,0.488888888888889,0.490842490879121
"229","male","group A","some high school","free/reduced","none",0.68,0.662650602409639,0.6,0.648351648351648
"230","female","group C","some college","standard","completed",0.88,0.939759036144578,0.933333333333333,0.915750915714286
"231","male","group D","some college","standard","none",0.76,0.566265060240964,0.622222222222222,0.655677655714286
"232","male","group C","associate's degree","standard","none",0.46,0.313253012048193,0.355555555555556,0.380952380989011
"233","female","group B","bachelor's degree","standard","none",0.67,0.831325301204819,0.811111111111111,0.765567765604396
"234","male","group E","some high school","standard","none",0.92,0.843373493975904,0.755555555555556,0.842490842527473
"235","male","group C","bachelor's degree","standard","completed",0.83,0.783132530120482,0.822222222222222,0.813186813186813
"236","male","group D","associate's degree","standard","none",0.8,0.698795180722892,0.744444444444444,0.750915750879121
"237","male","group D","bachelor's degree","free/reduced","none",0.63,0.590361445783133,0.633333333333333,0.619047619010989
"238","female","group D","some high school","standard","completed",0.64,0.518072289156627,0.711111111111111,0.626373626373626
"239","male","group B","some college","standard","none",0.54,0.421686746987952,0.455555555555556,0.476190476153846
"240","male","group C","associate's degree","standard","none",0.84,0.759036144578313,0.777777777777778,0.794871794835165
"241","male","group D","high school","free/reduced","completed",0.73,0.614457831325301,0.622222222222222,0.659340659340659
"242","female","group E","bachelor's degree","standard","none",0.8,0.795180722891566,0.811111111111111,0.802197802197802
"243","female","group D","high school","standard","none",0.56,0.421686746987952,0.5,0.498168498131868
"244","male","group E","some college","standard","none",0.59,0.409638554216867,0.366666666666667,0.461538461538462
"245","male","group D","some high school","standard","none",0.75,0.686746987951807,0.655555555555556,0.69963369967033
"246","male","group C","associate's degree","standard","none",0.85,0.710843373493976,0.677777777777778,0.750915750879121
"247","male","group E","associate's degree","standard","none",0.89,0.710843373493976,0.711111111111111,0.776556776593407
"248","female","group B","high school","standard","completed",0.58,0.63855421686747,0.644444444444444,0.619047619010989
"249","female","group B","high school","standard","none",0.65,0.566265060240964,0.577777777777778,0.600732600769231
"250","male","group C","high school","standard","none",0.68,0.518072289156627,0.477777777777778,0.564102564065934
"251","male","group A","some high school","standard","completed",0.47,0.385542168674699,0.433333333333333,0.432234432197802
"252","female","group D","some college","free/reduced","none",0.71,0.795180722891566,0.811111111111111,0.769230769230769
"253","female","group B","some high school","standard","completed",0.6,0.63855421686747,0.666666666666667,0.633699633736264
"254","male","group D","master's degree","standard","none",0.8,0.759036144578313,0.688888888888889,0.750915750879121
"255","male","group D","high school","standard","none",0.54,0.421686746987952,0.466666666666667,0.47985347989011
"256","female","group E","some college","standard","none",0.62,0.674698795180723,0.666666666666667,0.652014651978022
"257","female","group C","associate's degree","free/reduced","none",0.64,0.674698795180723,0.644444444444444,0.652014651978022
"258","male","group C","associate's degree","standard","completed",0.78,0.72289156626506,0.744444444444444,0.750915750879121
"259","female","group B","some college","standard","none",0.7,0.698795180722892,0.755555555555556,0.717948717912088
"260","female","group C","master's degree","free/reduced","completed",0.65,0.771084337349398,0.788888888888889,0.732600732637363
"261","female","group C","some high school","free/reduced","completed",0.64,0.746987951807229,0.744444444444444,0.706959706923077
"262","male","group C","some college","standard","completed",0.79,0.746987951807229,0.755555555555556,0.765567765604396
"263","female","group C","some high school","free/reduced","none",0.44,0.397590361445783,0.455555555555556,0.432234432197802
"264","female","group E","high school","standard","none",0.99,0.91566265060241,0.888888888888889,0.934065934065934
"265","male","group D","high school","standard","none",0.76,0.674698795180723,0.644444444444444,0.695970695934066
"266","male","group D","some high school","free/reduced","none",0.59,0.301204819277108,0.344444444444444,0.421245421208791
"267","female","group C","bachelor's degree","standard","none",0.63,0.698795180722892,0.788888888888889,0.703296703296703
"268","female","group D","high school","standard","none",0.69,0.662650602409639,0.744444444444444,0.69963369967033
"269","female","group D","associate's degree","standard","completed",0.88,0.903614457831325,0.944444444444444,0.908424908461538
"270","female","group E","some college","free/reduced","none",0.71,0.710843373493976,0.666666666666667,0.695970695934066
"271","male","group C","bachelor's degree","standard","none",0.69,0.55421686746988,0.566666666666667,0.608058608021978
"272","male","group C","some college","standard","none",0.58,0.385542168674699,0.355555555555556,0.446886446923077
"273","female","group D","associate's degree","free/reduced","none",0.47,0.433734939759036,0.533333333333333,0.47985347989011
"274","female","group D","some college","standard","none",0.65,0.63855421686747,0.677777777777778,0.655677655714286
"275","male","group B","some college","standard","completed",0.88,0.819277108433735,0.733333333333333,0.813186813186813
"276","male","group C","bachelor's degree","standard","none",0.83,0.734939759036145,0.7,0.758241758241758
"277","female","group C","some high school","standard","completed",0.85,0.903614457831325,0.922222222222222,0.89010989010989
"278","female","group E","high school","standard","completed",0.59,0.55421686746988,0.722222222222222,0.622710622747253
"279","female","group C","some high school","free/reduced","none",0.65,0.831325301204819,0.777777777777778,0.747252747252747
"280","male","group B","bachelor's degree","free/reduced","none",0.73,0.469879518072289,0.522222222222222,0.582417582417582
"281","male","group D","high school","standard","none",0.53,0.421686746987952,0.355555555555556,0.43956043956044
"282","male","group D","high school","standard","none",0.45,0.373493975903614,0.4,0.41025641021978
"283","female","group D","bachelor's degree","free/reduced","none",0.73,0.746987951807229,0.822222222222222,0.765567765604396
"284","female","group D","some college","free/reduced","completed",0.7,0.734939759036145,0.755555555555556,0.728937728901099
"285","female","group B","some high school","standard","none",0.37,0.349397590361446,0.4,0.373626373626374
"286","male","group B","associate's degree","standard","completed",0.81,0.783132530120482,0.8,0.798534798571429
"287","male","group E","associate's degree","standard","completed",0.97,0.783132530120482,0.866666666666667,0.879120879120879
"288","female","group B","some high school","standard","none",0.67,0.867469879518072,0.8,0.772893772857143
"289","male","group B","bachelor's degree","free/reduced","none",0.88,0.698795180722892,0.733333333333333,0.776556776593407
"290","male","group E","some high school","standard","completed",0.77,0.710843373493976,0.744444444444444,0.743589743626374
"291","male","group C","associate's degree","standard","none",0.76,0.63855421686747,0.644444444444444,0.684981684945055
"292","male","group D","some high school","standard","none",0.86,0.674698795180723,0.666666666666667,0.73992673989011
"293","male","group C","some high school","standard","completed",0.63,0.518072289156627,0.522222222222222,0.56043956043956
"294","female","group E","bachelor's degree","standard","none",0.65,0.674698795180723,0.722222222222222,0.681318681318681
"295","male","group D","high school","free/reduced","completed",0.78,0.72289156626506,0.777777777777778,0.761904761868132
"296","male","group B","associate's degree","free/reduced","none",0.67,0.542168674698795,0.555555555555556,0.593406593406593
"297","male","group A","some high school","standard","completed",0.46,0.289156626506024,0.366666666666667,0.377289377252747
"298","male","group E","associate's degree","standard","completed",0.71,0.686746987951807,0.644444444444444,0.681318681318681
"299","male","group C","high school","free/reduced","completed",0.4,0.349397590361446,0.444444444444444,0.399267399230769
"300","male","group D","associate's degree","free/reduced","none",0.9,0.843373493975904,0.722222222222222,0.824175824175824
